store_id,amount
0,2148428.571428572
1,276971.42857142875
2,1168085.7142857143
4,2598325.7142857146
5,1012731.4285714283
6,6423542.85714286
7,901037.1428571427
8,3695145.714285718
9,1987942.8571428575
10,1757399.9999999998
11,1455502.8571428577
12,1508197.4285714286
13,2514762.8571428577
14,13181590.285714285
15,2663897.1428571437
16,945228.5714285717
17,801082.8571428573
18,1012382.8571428573
19,4333451.42857143
20,5297856.971428572
22,767105.7142857147
23,2054457.1428571423
24,4523018.571428566
25,402285.71428571444
26,1056443.5428571429
27,5626927.714285716
28,3597940.000000002
29,2755557.1428571437
30,917562.8571428566
31,2088471.42857143
32,339832.2857142854
33,3535885.714285715
34,2403122.0571428575
35,2973150.1999999983
36,12267679.42857143
37,5288242.857142857
38,1048628.5714285716
40,2440974.2857142854
41,6821171.428571433
42,950985.7142857148
43,1387137.1428571413
45,1060114.285714285
46,15066470.571428563
47,3333000.0000000005
48,2699414.28571429
49,410982.5714285715
50,4439571.428571429
51,2593143.3714285675
52,937728.5714285722
53,1265721.2571428565
54,4594737.142857142
55,1913116.4285714289
57,26959274.285714284
58,1604805.4857142856
59,9788491.42857142
60,1436100.0000000019
61,558540.4571428573
62,17334426.000000007
64,12777914.285714284
66,2937719.999999999
67,746215.7142857148
68,2249417.3714285707
69,100845.7142857143
70,8204057.142857144
71,2905142.8571428573
72,5619714.285714285
73,724657.142857143
74,124867.142857143
75,1695199.9999999986
76,10115571.428571427
77,1808832.0857142855
78,2609428.5714285728
79,609334.2857142859
80,1224003.4
81,3662657.1428571474
82,2806311.428571428
83,5579770.285714287
84,4468928.571428572
85,1089742.8571428573
86,19145800.114285707
87,1611608.5714285732
88,2259028.571428571
89,2483262.857142861
90,4579657.1428571455
91,2239928.685714286
92,4347241.942857143
93,15975141.714285715
94,3265428.5714285704
95,8742499.428571424
96,4455785.714285715
97,1579257.1428571427
98,2689358.0000000014
99,2169499.085714286
100,53968.57142857163
101,1578817.4857142866
102,1128746.4
103,1121459.1428571427
104,5616868.571428577
105,1259571.4285714286
106,263540.0000000001
107,568885.7142857141
108,3652985.7142857164
109,2965531.4285714296
110,4295942.857142855
111,307644.2857142857
112,3570457.1428571423
113,11654096.57142857
114,2948028.571428572
115,2140614.2857142845
116,7186714.285714282
117,2899154.285714287
118,247597.1428571431
119,24771657.142857157
120,3614428.571428571
121,1450714.2857142854
122,1003246.0000000003
123,553054.2857142859
125,452228.9142857143
126,6422784.571428572
127,3705248.57142857
128,7090942.857142856
129,608514.2857142854
130,3630941.714285718
131,2338911.9999999995
132,3116048.571428572
133,396862.85714285716
134,718060.0
136,3528685.7142857164
137,5553214.285714293
138,321942.8571428569
139,2003485.7142857148
141,5546852.457142858
142,5454091.542857144
143,2246314.5714285695
144,521285.7142857139
145,15162100.857142868
146,6144250.857142858
148,540485.7142857147
149,1804163.7142857132
150,1602322.8571428577
151,1137685.7142857136
152,4932488.4
153,586700.0000000003
154,15744417.142857142
156,3713474.0000000014
157,827648.5714285718
159,848771.4285714283
160,909834.2857142857
161,968471.428571428
162,5240625.714285716
164,7715128.571428571
165,589085.7142857143
166,706800.2285714287
167,3208122.8571428563
168,1028488.7714285713
169,2978198.5714285737
170,1789771.7714285713
171,829171.4285714282
172,4756197.457142855
173,3066228.57142857
174,436700.00000000023
175,837805.4857142856
176,667711.4285714289
177,1060399.9999999993
178,7101757.142857141
179,2490771.4285714286
180,7706828.571428571
181,3048740.142857145
182,6117362.857142858
183,6410852.285714284
184,2137600.057142855
185,3685923.028571427
186,694542.8571428582
187,1249428.5714285718
188,2210829.4285714263
189,3355451.428571428
190,17092171.42857143
192,1567914.742857144
193,853380.0000000007
194,4252714.285714287
195,4592559.999999998
196,4936727.999999999
197,1460462.8571428577
198,12585658.514285726
199,1732371.4285714286
200,9284428.914285718
201,1828642.8571428568
202,1113317.1428571425
203,626851.428571428
204,4821000.000000001
205,2865885.714285714
206,3511085.7142857146
207,4208842.857142856
208,3558485.714285714
209,2830834.285714284
210,3253485.7142857146
211,1107999.9999999995
212,704971.4285714283
213,6392442.8571428545
214,355522.85714285745
215,670486.5714285718
216,6538860.342857145
217,1947617.1428571423
218,1641857.142857144
219,5088914.285714283
221,5636733.171428571
222,2001058.0000000019
223,2555334.857142858
224,799377.1428571432
225,2970085.942857145
226,3181043.542857144
227,1180000.0000000005
228,970785.7142857144
229,5347478.457142857
230,909211.4285714276
231,2614742.8571428554
232,1715260.9142857147
233,1212457.1428571416
234,1392585.7142857143
235,720485.7142857141
236,1720178.799999998
237,1627486.0571428572
238,2268485.7142857164
239,15186765.714285705
240,744570.285714286
241,2771153.3142857146
243,6554520.485714287
245,1435005.7142857139
246,10252628.571428573
247,10409257.142857151
248,1919728.5714285714
249,2950833.3714285702
250,3961181.714285716
251,320571.4285714286
252,1841799.9999999998
253,6052917.428571429
254,1474514.7428571428
255,815657.1428571427
256,3728885.714285715
257,1869448.057142858
258,699428.5714285718
259,13497608.57142857
260,876351.4285714282
262,2429622.857142858
264,6112362.8571428545
265,175485.71428571455
266,1490954.2857142854
267,1991442.8571428577
268,1325171.4285714286
269,893885.7142857141
270,9337556.571428573
271,7055340.85714286
272,1907709.1428571423
273,815528.8571428567
274,490714.2857142864
275,5888645.714285714
276,919524.2857142813
277,475088.5714285709
278,2059314.2857142866
279,339065.71428571484
280,4328985.714285713
281,3160557.2571428567
282,4178428.5714285728
283,3750414.285714285
284,9701757.142857142
285,1868942.857142857
286,8809282.857142858
287,793342.8571428574
288,2382934.857142857
289,1179672.0
290,3850348.4000000004
291,1022942.8571428576
293,6231700.000000006
294,3178457.1428571427
295,8297851.857142853
296,2419987.142857142
298,17302842.85714285
299,2535936.457142856
300,10787357.14285715
301,3990668.5714285723
302,4752937.142857144
303,4466857.142857142
304,10209793.657142866
305,1969457.1428571423
306,2877757.371428571
307,1598438.3714285719
308,4135840.0
309,1116371.4285714282
310,693085.7142857143
311,5480671.428571426
312,1757958.685714285
313,1102542.8571428577
314,5031505.999999998
315,4367514.285714287
316,2976457.142857142
317,6906302.857142859
318,2069714.2857142857
319,593428.9142857144
320,4678142.857142855
321,1261638.742857143
322,691199.9999999999
323,9394766.199999996
324,1354872.885714285
325,8713714.285714282
326,263123.08571428515
328,1719510.5999999982
329,2048288.571428572
330,1256428.5714285707
331,2092514.2857142854
332,1973571.428571429
333,2921943.1999999997
334,2194342.8571428573
335,9939637.057142852
336,4069114.2857142854
338,3578485.7142857127
339,2713222.857142857
340,360628.5714285717
341,1305220.9714285713
342,427071.42857142887
343,173400.00000000006
344,212114.28571428568
345,2260508.085714287
347,744200.0000000006
348,3535685.7142857127
350,2803977.714285713
351,16349614.114285719
352,1093857.1428571427
353,1384357.1428571432
354,10535135.714285715
355,1982857.142857143
356,5607190.0
357,6243417.142857142
358,11549000.000000004
359,723257.142857143
360,994571.4285714286
362,1665407.8285714276
363,1247631.4857142852
364,1148393.9999999995
365,1741257.1428571416
366,1455528.5714285718
367,595757.1428571432
368,908077.1428571433
369,1469171.428571429
